Week,VIC,NSW,QLD,ACT,NT,SA,WA,TS
1/9/2019,-4.10,-4.00,-2.00,1.80,0.70,-2.20,-2.80,1.90
8/9/2019,-0.20,0.20,1.00,1.40,-2.00,-1.60,-3.00,1.30
15/9/2019,0.80,3.00,1.40,3.10,2.20,-2.00,-1.20,0.20
22/9/2019,0.20,-2.40,1.30,1.30,-2.10,-1.60,-1.60,0.20
29/9/2019,-1.70,-2.30,2.20,1.40,-1.60,2.10,1.00,1.30
6/10/2019,-2.10,-1.90,2.10,-1.60,-0.90,-1.40,-0.70,1.20
13/10/2019,-1.90,-1.20,1.90,-1.90,1.00,1.90,0.40,0.70
20/10/2019,-3.10,-0.70,3.70,0.90,0.50,-0.10,1.40,1.10
27/10/2019,-0.90,1.40,-1.90,1.80,0.70,1.60,-0.90,2.40
3/11/2019,2.70,1.10,0.80,1.30,1.50,3.20,-2.10,3.70
10/11/2019,0.90,1.70,1.60,0.70,2.30,2.00,1.30,1.60
17/11/2019,1.30,0.20,1.70,1.60,0.80,0.20,1.50,3.30
24/11/2019,0.10,3.00,2.20,3.00,0.10,0.00,1.70,2.50
1/12/2019,0.70,3.40,0.30,0.20,1.10,3.70,3.50,2.90
8/12/2019,-2.00,3.30,2.90,3.10,2.40,1.50,3.30,-0.90
15/12/2019,-2.40,-0.90,2.30,3.40,3.30,3.30,2.50,-0.70
22/12/2019,4.00,2.90,1.00,4.10,5.10,4.50,1.90,0.20
29/12/2019,8.00,9.70,12.70,8.80,6.50,7.30,12.20,11.00
5/1/2020,13.90,12.20,17.70,8.40,12.20,13.30,18.80,13.70
12/1/2020,27.30,33.40,28.80,24.20,27.70,23.00,25.80,20.00
19/1/2020,6.80,13.30,7.90,4.40,6.70,12.30,11.60,10.10
26/1/2020,4.30,9.60,8.40,9.10,7.70,9.90,6.50,12.10
2/2/2020,6.70,8.70,8.80,10.00,9.30,5.90,4.20,6.60
9/2/2020,2.40,5.60,2.10,7.70,5.70,8.10,4.90,9.20
16/2/2020,1.10,2.30,4.00,5.40,7.60,6.30,4.90,11.10
23/2/2020,19.70,17.10,12.60,6.50,22.20,13.40,8.90,18.10
