Week,Victoria,New South Wales,Queensland,Australian Capital Territory,Northern Territory,South Australia,Western Australia,Tasmania
1/9/2019,0.20,2.10,3.30,1.00,6.10,3.00,2.70,1.40
8/9/2019,3.10,2.40,1.90,1.10,3.20,-1.10,-3.20,1.60
15/9/2019,3.80,2.70,2.00,2.50,4.80,0.50,3.10,1.10
22/9/2019,2.20,1.50,2.50,5.10,5.20,0.20,-0.70,-1.20
29/9/2019,-0.80,1.20,3.10,2.40,3.50,3.70,0.20,2.50
6/10/2019,-0.10,4.10,5.10,4.40,5.40,0.90,-0.60,0.60
13/10/2019,1.30,3.00,4.30,3.20,4.00,1.80,1.20,-0.90
20/10/2019,0.70,0.20,3.30,2.50,3.20,2.50,1.40,3.10
27/10/2019,3.70,2.70,3.70,6.00,6.40,4.40,4.10,5.40
3/11/2019,5.00,3.30,3.40,5.00,6.00,1.20,5.10,3.30
10/11/2019,4.40,8.60,7.00,5.40,5.40,3.30,3.70,3.10
17/11/2019,17.80,19.90,13.40,12.60,11.50,8.00,7.00,4.90
24/11/2019,13.20,14.20,13.00,22.10,19.00,11.20,7.80,9.90
1/12/2019,8.20,6.30,2.80,12.20,17.50,16.00,10.00,4.30
8/12/2019,5.30,6.60,9.00,7.90,7.30,12.50,10.10,9.40
15/12/2019,8.90,6.90,8.70,6.60,18.20,13.90,13.70,10.10
22/12/2019,17.40,27.70,31.20,16.80,17.20,16.70,16.30,12.00
29/12/2019,36.70,45.80,38.80,24.80,27.90,31.90,29.40,26.40
5/1/2020,46.20,52.20,47.80,28.90,46.50,35.50,31.70,39.50
12/1/2020,42.20,30.00,41.10,31.00,38.90,35.00,34.40,35.20
19/1/2020,8.10,25.50,36.20,23.20,19.40,22.60,29.00,18.50
26/1/2020,6.70,7.30,21.90,20.00,21.10,16.20,27.70,12.80
2/2/2020,5.50,7.60,18.10,11.90,17.00,13.40,12.00,13.00
9/2/2020,1.20,4.10,0.20,9.40,6.00,1.90,4.30,7.90
16/2/2020,4.00,12.40,5.60,4.50,6.20,1.10,3.20,3.60
23/2/2020,22.00,18.30,8.30,5.40,16.10,5.60,6.20,3.10
